Nitrogen, organic bound;water;ground-, long-term;kilogram;536
Sulfuric acid;air;low population density, long-term;kilogram;537
Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin;water;ground-;kilogram;538
Lead II;water;unspecified;kilogram;539
Sulfadiazine;water;unspecified;kilogram;540
Butene;air;low population density, long-term;kilogram;541
Nickel II;water;ocean;kilogram;542
Polonium-210;water;surface water;kilo Becquerel;543
Carbon-14;water;ground-;kilo Becquerel;544
Napropamide;soil;agricultural;kilogram;545
Ethylene dichloride;air;urban air close to ground;kilogram;546
Dimethoate;soil;agricultural;kilogram;547
Cadmium II;soil;agricultural;kilogram;548
Lauric acid;air;unspecified;kilogram;549
Transformation, from cropland fallow (non-use);natural resource;land;square meter;550
1,1,1,2-Tetrafluoroethane;air;unspecified;kilogram;551
Sulfentrazone;water;unspecified;kilogram;552
Quinmerac;soil;agricultural;kilogram;553
Dioctyl phthalate;water;ground-;kilogram;554
Transformation, from urban, continuously built;natural resource;land;square meter;555
